소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,위도,경도,현장소방서거리,현장안전센터거리,발화요인,시설장소
강남소방서,삼성119안전센터,440,강남구,삼성동,204668.7617,546000.1043,37.51346706,127.0528083,1.7,1.7,부주의,기타
강남소방서,역삼119안전센터,336,강남구,역삼동,203200.38,543818.74,37.49381911,127.03619,4.5,0.7,미상,기타
강남소방서,삼성119안전센터,430,강남구,청담동,204711.86,547345.82,37.52559178,127.0533044,2.6,2.6,부주의,기타
강남소방서,영동119안전센터,333,강남구,논현동,202776.7,546545.44,37.51838818,127.0314093,4.4,1,부주의,주거
강남소방서,삼성119안전센터,334,강남구,대치동,204870.5023,544814.5261,37.5027839,127.0550824,1.8,1.8,전기적 요인,주거
강남소방서,개포119안전센터,620,강남구,개포동,205942.4924,543290.5595,37.4890466,127.0671936,3.2,3.2,부주의,기타
강남소방서,세곡119안전센터,500,강남구,세곡동,210000.98,540836.96,37.46690446,127.1130508,8.6,1.2,부주의,임야
강남소방서,역삼119안전센터,535,강남구,역삼동,202484.53,544560.82,37.5005075,127.0280976,11,3,미상,자동차/철도차량
강남소방서,삼성119안전센터,203,강남구,대치동,205703.6512,544497.8558,37.49992592,127.0645023,1.6,1.6,전기적 요인,자동차/철도차량
강남소방서,영동119안전센터,451,강남구,신사동,201980.64,546576.47,37.51866981,127.0224046,5.5,1.5,전기적 요인,생활서비스
강남소방서,삼성119안전센터,427,강남구,삼성동,204574.9287,545879.1641,37.51237785,127.0517462,2,2,부주의,기타
강남소방서,삼성119안전센터,134,강남구,대치동,205139.59,544500.53,37.49995332,127.0581234,2,2,부주의,교육시설
강남소방서,삼성119안전센터,309,강남구,청담동,203861.2788,547095.4568,37.52333995,127.0436807,0.7,3.2,전기적 요인,판매/업무시설
강남소방서,삼성119안전센터,459,강남구,대치동,205235.818,544145.5787,37.49675465,127.0592091,2.4,2.4,전기적 요인,집합시설
강남소방서,삼성119안전센터,803,강남구,대치동,204678.05,544248.88,37.4976884,127.0529023,2.4,2.4,화학적 요인,생활서비스
강남소방서,역삼119안전센터,655,강남구,역삼동,203459.47,544754.58,37.50225015,127.0391242,2.8,1.8,부주의,판매/업무시설
강남소방서,영동119안전센터,845,강남구,압구정동,201856.2245,547226.9097,37.52453055,127.0209988,6.5,3.5,자연적인 요인,자동차/철도차량
강남소방서,삼성119안전센터,437,강남구,삼성동,204342.6142,546217.0803,37.51542361,127.0491206,2.4,2.4,미상,주거
강남소방서,삼성119안전센터,433,강남구,삼성동,204032.57,545737.29,37.51110209,127.0456109,2.4,2.4,부주의,기타
강남소방서,삼성119안전센터,414,강남구,청담동,205125.8948,547139.8778,37.52373403,127.0579869,2.1,2.1,부주의,주거
강남소방서,삼성119안전센터,611,강남구,삼성동,204702.2267,546560.1888,37.51851327,127.0531904,2.1,1.9,전기적 요인,주거
강남소방서,역삼119안전센터,619,강남구,역삼동,202288.86,544916.83,37.50371567,127.0258859,2.4,1.9,부주의,기타
