소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,현장소방서거리,현장안전센터거리,발화요인대분류명,시설장소대분류명
frstt_nm,ward_nm,dsp_reqre_time,sigungu_nm,emd_nm,gis_x_axis,gis_y_axis,spt_frstt_dist,spt_safe_cnter_dist,ign_fctr_lclas_nm,fclty_place_lclas_nm
용산소방서,이태원119안전센터,339,용산구,한남동,200087.52,548442.63,3,0.6,부주의,생활서비스
마포소방서,서교119안전센터,352,마포구,합정동,191922.25,550356.34,3.1,1.2,부주의,주거
서초소방서,서초119안전센터,300,서초구,서초동,202477.4615,543606.7376,4.3,1,부주의,주거
송파소방서,잠실119안전센터,332,송파구,삼전동,208146.99,544932.89,5.8,1,부주의,주거
금천소방서,금천119안전센터,305,금천구,독산동,191407.12,541805.62,2,2,부주의,주거
금천소방서,금천119안전센터,336,금천구,독산동,191214.18,541860.53,1.5,1.5,부주의,주거
서대문소방서,북가좌119안전센터,226,서대문구,북가좌동,192482.17,553421.99,2.6,0.5,부주의,주거
종로소방서,숭인119안전센터,450,종로구,종로6가,200603.04,552462.39,2.5,1.2,전기적 요인,생활서비스
중랑소방서,면목119안전센터,429,중랑구,면목동,207644.3105,553345.5461,5.4,1.5,전기적 요인,판매/업무시설
도봉소방서,창동119안전센터,408,도봉구,창동,203243.97,560349.94,2.8,1.2,전기적 요인,산업시설
은평소방서,녹번119안전센터,420,은평구,녹번동,193588.03,556312.91,4.2,1.4,전기적 요인,주거
노원소방서,상계119안전센터,410,노원구,상계동,205950.72,562774.11,3.3,2.1,전기적 요인,생활서비스
마포소방서,서교119안전센터,454,마포구,합정동,191923.28,550034.45,2.4,2.4,부주의,주거
성북소방서,종암119안전센터,400,성북구,하월곡동,203715.2175,556323.9312,1.8,1.8,전기적 요인,교육시설
강북소방서,삼각산119안전센터,318,강북구,수유동,201546.18,559109.67,3,2,전기적 요인,자동차/철도차량
영등포소방서,대림119안전센터,235,영등포구,신길동,192026.995,544595.6271,2.6,1,부주의,생활서비스
강남소방서,삼성119안전센터,139,강남구,대치동,204800.25,544629.83,1.9,1.9,전기적 요인,주거
구로소방서,공단119안전센터,456,구로구,구로동,190027.7417,543322.9723,4,1.4,부주의,기타
서초소방서,반포119안전센터,341,서초구,방배동,199055.37,543535.83,1.7,1.7,기타,주거
강남소방서,역삼119안전센터,358,강남구,역삼동,202778.48,544255.14,4.2,2.6,자연적인 요인,판매/업무시설
성동소방서,왕십리119안전센터,421,성동구,하왕십리동,202400.35,551650.27,2.3,1,부주의,주거
중부소방서,충무로119안전센터,304,중구,저동1가,198977.9062,551646.3727,2.7,0.7,기계적 요인,판매/업무시설
중랑소방서,면목119안전센터,330,중랑구,면목동,206493.08,554263.9,4.5,2,전기적 요인,판매/업무시설
관악소방서,난곡119안전센터,352,관악구,신림동,191146.58,542329.46,6.1,2.1,부주의,자동차/철도차량
서대문소방서,홍은119안전센터,449,서대문구,홍제동,195752.9,555014.1,3.9,0.8,부주의,주거
금천소방서,금천119안전센터,423,금천구,독산동,191162.8417,541822.5684,1.4,1.4,부주의,생활서비스
동작소방서,상도119안전센터,500,동작구,상도동,195021.46,544395.03,3.9,1.9,미상,생활서비스
송파소방서,가락119안전센터,352,송파구,문정동,210676.3703,543148.1179,3.2,1.4,부주의,산업시설
관악소방서,봉천119안전센터,436,관악구,봉천동,196052.81,543154.2,2.1,1.6,부주의,주거
용산소방서,후암119안전센터,305,용산구,용산동2가,198372.86,549447.32,2.4,1.3,부주의,기타
금천소방서,시흥119안전센터,441,금천구,시흥동,191389.69,538623.05,2.1,0.7,부주의,교육시설
동대문소방서,장안119안전센터,255,동대문구,장안동,205701.61,551438.6,0.7,0.7,부주의,생활서비스
강서소방서,화곡119안전센터,405,강서구,화곡동,186355.15,547794.44,4.6,2,부주의,생활서비스
은평소방서,역촌119안전센터,400,은평구,갈현동,192741.23,557460.04,1.5,1.8,부주의,주거
강서소방서,방화119안전센터,330,강서구,방화동,183932.3713,552636.8275,4.5,1.2,전기적 요인,주거
