읍면동명,갯수,법정동,행정기관코드
용강동,3,용강동,1144059000
항동,3,항동,1153080000
을지로7가,3,을지로7가,1114059000
동빙고동,3,동빙고동,1117069000
영등포동7가,3,영등포동7가,1156053500
영등포동8가,3,영등포동8가,1156053500
당산동3가,3,당산동3가,1156055000
문래동6가,3,문래동6가,1156060500
당산동4가,3,당산동4가,1156056000
당산동2가,3,당산동2가,1156055000
영등포동6가,3,영등포동6가,1156053500
이화동,3,이화동,1111064000
양화동,3,양화동,1156062000
문래동1가,3,문래동1가,1156060500
충신동,3,충신동,1111063000
을지로3가,3,을지로3가,1114060500
계동,3,계동,1111060000
신계동,3,신계동,1117056000
봉래동2가,3,봉래동2가,1114054000
삼선동2가,3,삼선동2가,1129055500
충무로3가,3,충무로3가,1114057000
내곡동,3,내곡동,1165066000
종로4가,3,종로4가,1111061500
서린동,2,서린동,1111061500
예지동,2,예지동,1111061500
혜화동,2,혜화동,1111065000
무악동,2,무악동,1111057000
홍파동,2,홍파동,1111058000
봉익동,2,봉익동,1111061500
현석동,2,현석동,1144063000
을지로2가,2,을지로2가,1114055000
구수동,2,구수동,1144063000
다동,2,다동,1114055000
인현동1가,2,인현동1가,1114060500
장충동2가,2,장충동2가,1114057000
남대문로2가,2,남대문로2가,1114052000
수하동,2,수하동,1114055000
충무로5가,2,충무로5가,1114057000
광희동2가,2,광희동2가,1114059000
순화동,2,순화동,1114052000
회현동1가,2,회현동1가,1114054000
필동2가,2,필동2가,1114057000
의주로1가,2,의주로1가,1114052000
대신동,2,대신동,1141058500
북창동,2,북창동,1114052000
초동,2,초동,1114060500
흥인동,2,흥인동,1114061500
입정동,2,입정동,1114060500
견지동,2,견지동,1111061500
영등포동1가,2,영등포동1가,1156053500
효제동,2,효제동,1111063000
내수동,2,내수동,1111053000
보문동4가,2,보문동4가,1129061000
동소문동6가,2,동소문동6가,1129057500
용산동6가,2,용산동6가,1117069000
동소문동4가,2,동소문동4가,1129052500
도원동,2,도원동,1117059000
원효로4가,2,원효로4가,1117057000
홍익동,2,홍익동,1120053500
응봉동,2,응봉동,1120058000
안암동2가,2,안암동2가,1129060000
동선동5가,2,동선동5가,1129057500
충정로3가,2,충정로3가,1141056500
냉천동,2,냉천동,1141052000
오곡동,2,오곡동,1150062000
양평동,2,양평동,1156062000
사간동,2,사간동,1111054000
경운동,2,경운동,1111061500
신영동,2,신영동,1111055000
양평동6가,2,양평동6가,1156062000
세종로,2,세종로,1111051500
명륜3가,2,명륜3가,1111065000
동소문동1가,2,동소문동1가,1129052500
누하동,2,누하동,1111051500
신창동,1,신창동,1117057000
산림동,1,산림동,1114060500
무교동,1,무교동,1114055000
율현동,1,율현동,1168070000
예장동,1,예장동,1114055000
을지로4가,1,을지로4가,1114060500
묵정동,1,묵정동,1114057000
장충동1가,1,장충동1가,1114058000
용산동3가,1,용산동3가,1117062500
보문동5가,1,보문동5가,1129061000
의주로2가,1,의주로2가,1114068000
필동3가,1,필동3가,1114057000
용산동1가,1,용산동1가,1117053000
성북동1가,1,성북동1가,1129052500
태평로2가,1,태평로2가,1114052000
남산동1가,1,남산동1가,1114055000
저동1가,1,저동1가,1114055000
예관동,1,예관동,1114059000
수표동,1,수표동,1114055000
삼선동3가,1,삼선동3가,1129055500
원효로3가,1,원효로3가,1117057000
회현동2가,1,회현동2가,1114054000
주교동,1,주교동,1114060500
신문로1가,1,신문로1가,1111053000
필동1가,1,필동1가,1114057000
충정로1가,1,충정로1가,1114052000
인의동,1,인의동,1111061500
안국동,1,안국동,1111054000
연건동,1,연건동,1111064000
홍지동,1,홍지동,1111055000
관수동,1,관수동,1111061500
사직동,1,사직동,1111053000
권농동,1,권농동,1111061500
명륜4가,1,명륜4가,1111065000
명륜2가,1,명륜2가,1111065000
행촌동,1,행촌동,1111058000
신교동,1,신교동,1111051500
통인동,1,통인동,1111051500
운니동,1,운니동,1111061500
종로2가,1,종로2가,1111061500
소격동,1,소격동,1111054000
천연동,1,천연동,1141052000
당주동,1,당주동,1111053000
염곡동,1,염곡동,1165066000
통의동,1,통의동,1111053000
오쇠동,1,오쇠동,1150062000
마포동,1,마포동,1144058500
필운동,1,필운동,1111053000
상왕십리동,1,상왕십리동,1120053500
금호동3가,1,금호동3가,1120061500
누상동,1,누상동,1111051500
을지로1가,1,을지로1가,1114055000
충무로4가,1,충무로4가,1114057000
문래동4가,1,문래동4가,1156060500
만리동1가,1,만리동1가,1114068000
방산동,1,방산동,1114060500
