GIS_X좌표,GIS_Y좌표,경도,위도
203738.29,544481.6,127.04227606039542,37.49978949738096
203135.19,544294.96,127.0354548508583,37.49811010349274
203506.199,543886.7366,127.03964852633693,37.49443065050408
209352.0965,543168.7876,127.10574545834123,37.487921206314454
203909.27,545694.76,127.04421610684409,37.510719422488776
204333.0459,541673.6913,127.04898558892458,37.47448742351881
204300.02,546189.5,127.04863860681036,37.51517531172349
203064.0083,546229.9125,127.03465793906348,37.51554435949869
202704.51,547103.45,127.03059475728121,37.52341608191524
209165.3193,542914.5811,127.10363038182659,37.48563266016832
204100.81,545083.33,127.04637912604255,37.505209579166454
203234.75,545440.21,127.03658577731522,37.50842852504529
205613.47,546079.2,127.06349452049216,37.51417445290172
209742.6,540579.98,127.11012669631766,37.4645918059424
202563.7996,545936.3183,127.02899890199068,37.51290058917406
