구동,갯수
서울특별시 중구 중림동,3
서울특별시 용산구 동빙고동,3
서울특별시 종로구 계동,3
서울특별시 종로구 충신동,3
서울특별시 종로구 명륜1가,3
서울특별시 종로구 이화동,3
서울특별시 종로구 장사동,3
서울특별시 종로구 종로3가,3
서울특별시 종로구 종로4가,3
서울특별시 용산구 용문동,3
서울특별시 영등포구 영등포동7가,3
서울특별시 성북구 동선동2가,3
서울특별시 영등포구 당산동4가,3
서울특별시 구로구 온수동,3
서울특별시 성북구 삼선동2가,3
서울특별시 성북구 안암동3가,3
서울특별시 성북구 상월곡동,3
서울특별시 성북구 동소문동5가,3
서울특별시 서초구 내곡동,3
서울특별시 서초구 원지동,3
서울특별시 영등포구 문래동1가,3
서울특별시 영등포구 양화동,3
서울특별시 성북구 보문동7가,3
서울특별시 영등포구 영등포동6가,3
서울특별시 성북구 동선동4가,3
서울특별시 영등포구 당산동2가,3
서울특별시 구로구 항동,3
서울특별시 성북구 안암동1가,3
서울특별시 영등포구 영등포동8가,3
서울특별시 영등포구 당산동3가,3
서울특별시 영등포구 문래동6가,3
서울특별시 마포구 용강동,3
서울특별시 용산구 신계동,3
서울특별시 종로구 봉익동,2
서울특별시 중구 회현동1가,2
서울특별시 종로구 무악동,2
서울특별시 종로구 견지동,2
서울특별시 중구 순화동,2
서울특별시 중구 광희동2가,2
서울특별시 중구 충무로5가,2
서울특별시 종로구 혜화동,2
서울특별시 종로구 예지동,2
서울특별시 강서구 오곡동,2
서울특별시 중구 의주로1가,2
서울특별시 종로구 홍파동,2
서울특별시 종로구 서린동,2
서울특별시 중구 필동2가,2
서울특별시 성동구 홍익동,2
서울특별시 성동구 응봉동,2
서울특별시 서대문구 충정로3가,2
서울특별시 서대문구 냉천동,2
서울특별시 서대문구 대신동,2
서울특별시 중구 다동,2
서울특별시 중구 입정동,2
서울특별시 중구 흥인동,2
서울특별시 중구 초동,2
서울특별시 마포구 구수동,2
서울특별시 마포구 현석동,2
서울특별시 중구 을지로2가,2
서울특별시 중구 수하동,2
서울특별시 용산구 도원동,2
서울특별시 중구 북창동,2
서울특별시 성북구 동소문동6가,2
서울특별시 성북구 동선동5가,2
서울특별시 성북구 안암동2가,2
서울특별시 종로구 효제동,2
서울특별시 영등포구 영등포동1가,2
서울특별시 종로구 경운동,2
서울특별시 중구 남대문로2가,2
서울특별시 성북구 동소문동1가,2
서울특별시 중구 인현동1가,2
서울특별시 성북구 보문동4가,2
서울특별시 영등포구 양평동6가,2
서울특별시 영등포구 양평동,2
서울특별시 중구 장충동2가,2
서울특별시 성북구 동소문동4가,2
서울특별시 종로구 내수동,2
서울특별시 종로구 누하동,2
서울특별시 용산구 원효로4가,2
서울특별시 종로구 사간동,2
서울특별시 종로구 명륜3가,2
서울특별시 종로구 세종로,2
서울특별시 종로구 신영동,2
서울특별시 용산구 용산동6가,2
서울특별시 중구 필동1가,1
서울특별시 중구 예장동,1
서울특별시 마포구 마포동,1
서울특별시 중구 무교동,1
서울특별시 중구 태평로2가,1
서울특별시 중구 을지로4가,1
서울특별시 중구 예관동,1
서울특별시 중구 회현동2가,1
서울특별시 중구 주교동,1
서울특별시 중구 남산동1가,1
서울특별시 중구 장충동1가,1
서울특별시 중구 의주로2가,1
서울특별시 중구 필동3가,1
서울특별시 강서구 오쇠동,1
서울특별시 중구 묵정동,1
서울특별시 중구 저동1가,1
서울특별시 중구 수표동,1
서울특별시 중구 산림동,1
서울특별시 중구 충정로1가,1
서울특별시 강남구 율현동,1
서울특별시 종로구 명륜4가,1
서울특별시 중구 만리동1가,1
서울특별시 중구 충무로4가,1
서울특별시 종로구 안국동,1
서울특별시 종로구 신문로1가,1
서울특별시 종로구 인의동,1
서울특별시 종로구 관수동,1
서울특별시 종로구 당주동,1
서울특별시 성북구 보문동5가,1
서울특별시 종로구 통의동,1
서울특별시 성북구 성북동1가,1
서울특별시 종로구 필운동,1
서울특별시 성북구 삼선동3가,1
서울특별시 종로구 누상동,1
서울특별시 영등포구 문래동4가,1
서울특별시 용산구 원효로3가,1
서울특별시 용산구 용산동1가,1
서울특별시 용산구 신창동,1
서울특별시 종로구 연건동,1
서울특별시 종로구 홍지동,1
서울특별시 성동구 금호동3가,1
서울특별시 종로구 운니동,1
서울특별시 중구 을지로1가,1
서울특별시 마포구 신정동,1
서울특별시 서대문구 천연동,1
서울특별시 서초구 염곡동,1
서울특별시 종로구 소격동,1
서울특별시 종로구 종로2가,1
서울특별시 종로구 통인동,1
서울특별시 성동구 상왕십리동,1
서울특별시 종로구 신교동,1
서울특별시 종로구 행촌동,1
서울특별시 종로구 명륜2가,1
서울특별시 용산구 용산동3가,1
서울특별시 종로구 권농동,1
서울특별시 종로구 사직동,1
서울특별시 중구 방산동,1
