X좌표,Y좌표,경도,위도
187170.2995,545059.5729,126.85489993111935,37.504915515245386
189498.0332,545329.6416,126.88122198915072,37.507378246586775
191515.0846,544212.2561,126.90404783949471,37.49733128924518
189614.7932,543865.6649,126.88256321097525,37.4941890768656
188070.3604,544260.2451,126.86509228179055,37.497725609576996
192920.226,558822.3962,126.9197969535077,37.628979843464414
189711.0972,549259.3062,126.8835767450877,37.542786939875626
186823.7152,546934.9492,126.85094657863849,37.521807795149485
202109.1044,542354.5062,127.02384562312206,37.480629378504695
203613.476,541114.3236,127.04084802663853,37.46945055599927
203753.1565,544189.6677,127.04244269583269,37.49715910923122
204412.6625,541694.9569,127.04988579090877,37.474678652061186
208212.2316,542833.3439,127.09285312289155,37.48490966785882
208302.374,545320.129,127.09390038305897,37.50731493317781
