GIS_X좌표,GIS_Y좌표
205626.0079,543976.9786
,
203185.9725,546685.8828
204846.64,545034.76
204871.72,544248.08
205069.89,544820.45
204147.7254,547028.3087
208954.685,541671.76
204226.34,547259.7
201975.19,546309.37
202956.6384,544369.8515
202230.96,545246.45
201878.15,546415.81
202846.28,545125.28
205537.29,545203.83
205987.294,545291.2394
208962.3306,543095.6183
204807.8655,545804.6811
204761.88,545300.15
204076.22,541980.43
204316.48,542974.005
202267.48,545464.71
205082.91,545412.18
202309.97,545678.11
205076.45,544661.79
204885.8349,546968.1891
202585.0743,548004.3133
202441.18,544831.9
204413.83,546005.01
204102.86,541924.63
202887.89,545245.38
202442.63,546991.2
203333.5232,546534.6494
205972.78,542040.2563
207561.08,543439.23
202803.17,543947.88
202403.2789,544733.0612
202737.7689,543950.7996
203429.02,544819.16
206183.9264,542703.0839
205005.7249,545261.973
202015.7792,546476.6618
204096.77,545206.08
208604.61,540976.85
204790.81,545137.24
203529.2432,547876.6358
205233.3386,545990.2698
205553.05,546479.99
203855.42,547538.4
204803.89,544286.08
203951.6802,544046.6807
203261.91,547357.65
203800.56,544174.46
204592.28,544841.84
202027.7781,545500.6338
202696.3,546961.59
205758.2949,544620.5203
204679.6,544471.77
204005.0065,545634.3928
204532.18,545034.08
202266.73,547272.84
205818.9565,544348.6349
202857.9555,544397.3672
202468.84,547174.96
204464.85,547416.45
202295.43,545559.22
205249.7501,544634.1145
205536.215,543883.6927
205356.0027,544750.1637
204905.3824,545058.6256
202156.24,546711.95
204811.8613,544829.9135
202794.65,547634.73
204215.53,543166.28
203231.487,545361.915
203684.08,547507.36
204680.19,545527.63
204032.7976,547476.2436
203026.93,545551.79
203071.3775,544727.0504
204422.6917,546378.179
203337.08,543467.56
203213.36,547467.73
205419.5207,543841.2793
203366.03,547372.92
202457.8,544525.86
202357.41,545994.74
204179.1472,544991.4347
203796.2312,544186.4844
208940.03,540513.49
205287.5174,543770.2475
202586.33,545706.5
202557.2982,544412.8126
202439.321,547324.3316
202134.21,545624.01
202768.4,545556.196
201920.77,546460.64
207243.36,543837.28
203511.55,547202.4
207269.1993,543329.1495
201883.12,547088.82
202454.03,545040.1259
203759.48,544717.24
208729.51,540963.09
202771.51,546113.16
204500.47,544970.14
205228.84,546097.95
202490.01,545639
203903.47,545042.96
208862.04,540824.51
204801.44,544667.92
205163.59,545001.27
203522.5749,547585.8515
203699.96,545161.3
202176.08,547274.82
203202.54,547059.29
202671.1295,548099.8761
203063.61,544581.98
203450.54,544812.42
203246.43,544838.35
205004.46,542748.06
203064.7927,545252.8048
201904.12,546644.46
203915.4667,545691.0793
206684.2885,543166.7285
202460.7623,545239.0143
203745.44,545419
203790.18,543763.02
205322.0185,544187.007
203603.73,547025.34
205911.0975,544111.8526
208900.16,540774.52
203409.95,547174.19
204305.01,546209.89
204345.4489,544302.6967
202974.56,544191.22
