위치명,발생건수
"37.5777481, 126.8971243",1
"37.577628, 126.8973013",1
"37.577628, 126.8973052",1
"37.577748, 126.8971273",1
"37.5777479, 126.8971243",1
"37.5777479, 126.8971242",1
"37.5776296, 126.897301",1
"37.5776296, 126.8972994",1
"37.5776296, 126.897299",1
"37.5777475, 126.8971239",1
"37.5776289, 126.897299",1
"37.5777455, 126.8971283",1
"37.5776289, 126.8973021",1
"37.5777454, 126.8971305",1
"37.577629, 126.8973007",1
"37.577629, 126.897302",1
"37.5776288, 126.8973017",1
"37.5777362, 126.8971427",1
"37.577629, 126.8973021",1
"37.5776291, 126.8973019",1
"37.5777266, 126.8971612",1
"37.5776291, 126.897302",1
"37.5776291, 126.8973022",1
"37.5777263, 126.8971633",1
"37.5776292, 126.8973021",1
"37.5777272, 126.8971616",1
"37.5776288, 126.8973012",1
"37.5776288, 126.8972992",1
"37.5777458, 126.8971285",1
"37.5776288, 126.8973029",1
"37.57643, 126.8990786",1
"37.5776037, 126.8973308",1
"37.5775638, 126.8973965",1
"37.5775636, 126.8973973",1
"37.5775636, 126.8973983",1
"37.5775636, 126.8973991",1
"37.5775637, 126.8973964",1
"37.5775637, 126.8973965",1
"37.5775633, 126.8973982",1
"37.5775637, 126.8973974",1
"37.5775638, 126.8973964",1
"37.5775639, 126.8973967",1
"37.5776272, 126.897302",1
"37.5775639, 126.8973968",1
"37.5775639, 126.8973995",1
"37.5775641, 126.8973958",1
"37.5775641, 126.8973966",1
"37.5775642, 126.8973966",1
"37.5775642, 126.8973967",1
"37.5775642, 126.8973987",1
"37.5775637, 126.8974",1
"37.5777476, 126.8971241",1
"37.5777073, 126.8971858",1
"37.5776293, 126.8973007",1
"37.5776284, 126.8973027",1
"37.5777093, 126.8971828",1
"37.5777091, 126.8971816",1
"37.5776824, 126.8972217",1
"37.5776897, 126.8972123",1
"37.5776994, 126.8971978",1
"37.5777087, 126.8971838",1
"37.5777084, 126.8971845",1
"37.5777083, 126.8971835",1
"37.5777064, 126.8971884",1
"37.5777074, 126.8971856",1
"37.5777069, 126.8971868",1
"37.5777107, 126.8971826",1
